,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
584,18334,-39.98581869750191,-15.435802334460565,-32.87880440711247,45.0,58.0,44.0,58.0,44.0,59.0,45.0,59.0,45.0,58.0
585,33139,-40.39651166299526,-17.293822988020157,-34.93165152841063,46.0,58.0,45.0,58.0,45.0,59.0,46.0,59.0,46.0,58.0
586,23113,-39.34149612772033,-15.696794012027864,-34.15393934149613,47.0,58.0,46.0,58.0,46.0,59.0,47.0,59.0,47.0,58.0
587,23406,-39.23780227292147,-15.918995129453986,-33.76057421174058,48.0,58.0,47.0,58.0,47.0,59.0,48.0,59.0,48.0,58.0
588,34545,-39.54841511072514,-15.817050224345056,-34.03965841655811,49.0,58.0,48.0,58.0,48.0,59.0,49.0,59.0,49.0,58.0
589,196476,-39.911744945947596,-15.884891793399703,-34.44441051324335,50.0,58.0,49.0,58.0,49.0,59.0,50.0,59.0,50.0,58.0
590,64507,-39.605004108081296,-15.846342257429427,-34.140480878044244,51.0,58.0,50.0,58.0,50.0,59.0,51.0,59.0,51.0,58.0
591,45964,-39.58967887912279,-15.84065790618745,-34.27464972587242,52.0,58.0,51.0,58.0,51.0,59.0,52.0,59.0,52.0,58.0
592,53799,-39.41894830758936,-15.814420342385546,-34.080559118199226,53.0,58.0,52.0,58.0,52.0,59.0,53.0,59.0,53.0,58.0
593,156486,-39.72048617767724,-15.78096443132293,-34.20433776823486,54.0,58.0,53.0,58.0,53.0,59.0,54.0,59.0,54.0,58.0
594,58961,-47.65014161903631,-15.70190464883567,-43.313376638795134,55.0,58.0,54.0,58.0,54.0,59.0,55.0,59.0,55.0,58.0
595,80946,-62.10683665653646,-16.009438391026116,-60.03137894398735,56.0,58.0,55.0,58.0,55.0,59.0,56.0,59.0,56.0,58.0
596,186239,-64.55200038660001,-27.669285165835298,-65.7246870956137,57.0,58.0,56.0,58.0,56.0,59.0,57.0,59.0,57.0,58.0
597,208299,-49.98055679575994,-26.969884636988176,-45.56718947282512,58.0,58.0,57.0,58.0,57.0,59.0,58.0,59.0,58.0,58.0
598,116566,-39.576720484532366,-16.25002144707719,-34.002196180704495,59.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,58.0
599,170018,-56.628121728287596,-17.882812408097966,-52.58796127468856,60.0,58.0,59.0,58.0,59.0,59.0,60.0,59.0,60.0,58.0
600,408695,-46.03799899680691,-15.650301569630164,-41.19893808341183,61.0,58.0,60.0,58.0,60.0,59.0,61.0,59.0,61.0,58.0
601,95711,-40.233619960088184,-16.725350273218336,-34.939557626605094,62.0,58.0,61.0,58.0,61.0,59.0,62.0,59.0,62.0,58.0
602,27375,-39.24748858447489,-15.4337899543379,-33.91415525114155,63.0,58.0,62.0,58.0,62.0,59.0,63.0,59.0,63.0,58.0
603,15606,-39.875688837626555,-15.929770601050878,-34.27527873894656,64.0,58.0,63.0,58.0,63.0,59.0,64.0,59.0,64.0,58.0
604,3048,-39.534120734908136,-15.813648293963254,-34.77690288713911,65.0,58.0,64.0,58.0,64.0,59.0,65.0,59.0,65.0,58.0
607,4,-50.0,-25.0,-25.0,68.0,58.0,67.0,58.0,67.0,59.0,68.0,59.0,68.0,58.0
608,3546,-39.48110547095319,-15.48223350253807,-32.261703327693176,69.0,58.0,68.0,58.0,68.0,59.0,69.0,59.0,69.0,58.0
609,2517,-40.08740564163687,-15.415176797775128,-32.896305125148984,70.0,58.0,69.0,58.0,69.0,59.0,70.0,59.0,70.0,58.0
610,403,-38.21339950372209,-14.392059553349876,-33.49875930521092,71.0,58.0,70.0,58.0,70.0,59.0,71.0,59.0,71.0,58.0
611,189,-38.095238095238095,-14.285714285714286,-33.86243386243386,72.0,58.0,71.0,58.0,71.0,59.0,72.0,59.0,72.0,58.0
612,8,-37.5,-12.5,-37.5,73.0,58.0,72.0,58.0,72.0,59.0,73.0,59.0,73.0,58.0
614,9372,-41.69867690994452,-14.89543320529236,-34.98719590268886,75.0,58.0,74.0,58.0,74.0,59.0,75.0,59.0,75.0,58.0
615,1890,-33.65079365079365,-0.7407407407407407,-33.333333333333336,76.0,58.0,75.0,58.0,75.0,59.0,76.0,59.0,76.0,58.0
616,1916,-33.35073068893528,-0.2609603340292276,-33.35073068893528,77.0,58.0,76.0,58.0,76.0,59.0,77.0,59.0,77.0,58.0
