fid,lat,lng
1212,86.50,-47.50
1213,86.50,-46.50
1214,86.50,-45.50
1215,86.50,-44.50
1216,86.50,-43.50
1217,86.50,-42.50
1218,86.50,-41.50
1219,86.50,-40.50
1220,86.50,-39.50
1221,86.50,-38.50
1222,86.50,-37.50
1223,86.50,-36.50
1224,86.50,-35.50
1225,86.50,-34.50
1226,86.50,-33.50
1227,86.50,-32.50
1228,86.50,-31.50
1229,86.50,-30.50
1230,86.50,-29.50
1231,86.50,-28.50
1232,86.50,-27.50
1233,86.50,-26.50
1234,86.50,-25.50
1235,86.50,-24.50
1236,86.50,-23.50
1237,86.50,-22.50
1238,86.50,-21.50
1239,86.50,-20.50
1240,86.50,-19.50
1241,86.50,-18.50
1242,86.50,-17.50
1243,86.50,-16.50
1244,86.50,-15.50
1245,86.50,-14.50
1246,86.50,-13.50
1247,86.50,-12.50
1248,86.50,-11.50
1249,86.50,-10.50
1250,86.50,-9.50
1251,86.50,-8.50
1252,86.50,-7.50
1253,86.50,-6.50
1254,86.50,-5.50
1255,86.50,-4.50
1256,86.50,-3.50
1257,86.50,-2.50
1258,86.50,-1.50
1259,86.50,-0.50
1260,86.50,0.50
1261,86.50,1.50
1262,86.50,2.50
1263,86.50,3.50
1264,86.50,4.50
1265,86.50,5.50
1266,86.50,6.50
1267,86.50,7.50
1268,86.50,8.50
1269,86.50,9.50
1270,86.50,10.50
1271,86.50,11.50
1272,86.50,12.50
1273,86.50,13.50
1274,86.50,14.50
1275,86.50,15.50
1276,86.50,16.50
1277,86.50,17.50
1278,86.50,18.50
1279,86.50,19.50
1280,86.50,20.50
1281,86.50,21.50
1282,86.50,22.50
1283,86.50,23.50
1284,86.50,24.50
1285,86.50,25.50
1286,86.50,26.50
1287,86.50,27.50
1288,86.50,28.50
1289,86.50,29.50
1290,86.50,30.50
1291,86.50,31.50
1292,86.50,32.50
1293,86.50,33.50
