fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
11367,933.060145,359.4235891,360.3940696,1575.866514,0,0,0,0
11368,0.05013072,0.05013072,0.05013072,0.05013072,252024.5469,253288.375,244156.5156,266102.4688
11369,37.15756003,36.44737627,36.4125447,37.15756003,45929.1875,27896.89453,38737.20313,30356.11328
11370,28583.52771,28578.26432,28577.1686,28583.52771,0,0,0,0
11371,49063.2366,49072.36405,49072.36405,49072.36405,0,0,0,0
11372,1.424761175,1.424761175,1.424761175,1.424761175,41471.4375,25077.86719,35035.31641,27405.29297
11373,2362.71789,2362.832957,2362.832957,2362.832957,96933.05469,0,82404.07813,0
11374,1214.561187,1214.561187,1214.561187,1214.561187,83693.15625,58240.375,72893.73438,62741.19141
11375,0.359529969,0.359529969,0.35952999,0.359529969,58316.39844,43965.01563,51823.39453,46982.92188
11376,23.02941647,23.02941647,23.02941647,23.02941647,0,0,0,0
11377,330.8046027,245.3948183,245.3151264,330.7952139,0,0,0,0
11378,2548.31527,2101.952728,2006.806188,2575.802099,243882.9219,253983.4063,242254.25,266701.4063
11379,1087.298653,209.8829894,180.0203183,1071.862424,439266.6563,435170.3125,422847.5938,458149.7813
11380,3132.25479,2973.196539,2934.443641,3132.25479,328836.1875,318772.3438,314787.8438,335098.3438
11381,451.4222933,450.4264123,450.3528683,451.4222933,132464.75,118613.8906,123665.1328,125503.0859
11382,0.294176402,0.294176402,0.294176402,0.294176402,45314.48438,0,40866.80469,0
11383,21.35524886,21.35524886,21.35524886,21.35524886,0,0,0,0
11384,142.9763945,142.9763945,142.9763945,142.9763945,0,0,0,0
11385,2960.864736,2961.076669,2961.076669,2961.076669,0,0,0,0
11386,41.25543865,41.25543865,41.25543865,41.25543865,0,0,0,0
11387,36.30197089,28.30620817,27.56060169,36.16684281,0,0,0,0
11388,350.6211868,265.7348917,254.5129715,345.2389825,0,0,0,0
11389,13.55689522,7.341729257,6.715751531,13.05802958,456685.75,447293.5625,438132.9688,471174.0313
11390,7.56911566,2.941685757,2.067305744,7.335354792,0,0,0,0
11391,52.69039804,33.55925663,32.94824363,52.56288119,0,0,0,0
11392,43.83435452,39.58972529,39.57648922,43.68981356,155189.75,94197.14063,130607.0156,102297.8359
11393,0.624116908,0.569413303,0.569071414,0.622443262,70760.42188,43009.61719,59653.62109,46792.33984
11394,636.9511483,478.7419448,476.1862691,625.1704929,0,0,0,0
11395,902.3415589,495.3423474,460.7355852,901.5812437,461436.9375,348215.375,409977.875,372572.9063
11396,3.498635557,3.390127782,3.390127782,3.498635557,642744.25,505046.625,577310.625,538285
11397,0.085689529,0.010016876,0.007858241,0.081773322,114590.2813,79094.1875,99110.34375,85086.04688
11398,0,0,0,0,142040.3438,87311.59375,119954.75,95095.54688
11399,0.013487018,0.013487018,0.013487018,0.013487018,261712.4531,193150.8438,231708.1563,206820.9063
11400,0.032991933,0.027947035,0.027947035,0.033098741,128567.3906,97924.14844,114426.9063,104774.2266
11401,0,0,0,0,84565.35156,56260.76563,72755.35938,60697.03125
11402,0.131515742,0.130461124,0.130461124,0.131515742,32467.12109,20303.73047,27618.03125,22016.35156
