UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0,0.0,0.0,27408.875,16536.10938,23064.32813,18088.79688,59.5,48.5
41.20582146,41.20515814,41.20515814,41.20582146,182511.0313,171966.7344,173077.9219,181631.2969,59.5,49.5
1.4000000000000001e-05,0.0,0.0,1.4000000000000001e-05,62527.82422,56437.625,58438.87109,59597.50781,59.5,50.5
0.0,0.0,0.0,0.0,26891.71289,16253.77441,22580.24609,17626.46094,59.5,51.5
0.29465237,0.29465237,0.29465237,0.29465237,36251.03516,23059.45898,30830.757810000003,24908.92969,59.5,52.5
0.0,0.0,0.0,0.0,20421.29688,12420.70117,17108.6582,13335.99316,59.5,53.5
0.024304245,0.026798975,0.026798975,0.026798975,251588.4219,252581.2656,243600.7344,265237.8125,59.5,56.5
0.0,0.0,0.0,0.0,86474.84375,62645.89844,75968.82031,67155.125,59.5,57.5
0.0,0.0,0.0,0.0,59142.07031,41368.22656,51610.96875,44165.21094,59.5,60.5
0.0,0.0,0.0,0.0,35497.44531,21643.83984,29931.9082,23265.85547,59.5,61.5
0.000436123,0.000436123,0.000436123,0.000436123,8806.083008,5242.829102000001,7357.728026999999,5886.817871,59.5,62.5
0.0,0.0,0.0,0.0,3437.243164,2010.6146239999998,2869.563721,2378.7260739999997,59.5,63.5
0.0,0.0,0.0,0.0,6746.638672,4381.304199,5765.05957,4586.19043,59.5,64.5
0.0,0.0,0.0,0.0,15337.46484,10140.05566,12878.90625,10299.67969,59.5,65.5
0.0,0.0,0.0,0.0,18590.01367,12154.61719,15483.12012,12311.94531,59.5,66.5
0.0,0.0,0.0,0.0,13835.87695,8528.337891,11533.157229999999,9021.914063,59.5,67.5
0.0,0.0,0.0,0.0,6308.317383,4054.919922,5445.860352000001,4179.086914,59.5,68.5
0.0,0.0,0.0,0.0,1655.496582,1074.799194,1554.671143,1104.484741,59.5,80.5
0.0,0.0,0.0,0.0,1634.53772,1089.691895,1633.975342,1089.691895,59.5,89.5
0.0,0.0,0.0,0.0,1601.676758,1064.607666,1598.329834,1066.8178710000002,59.5,91.5
0.0,0.0,0.0,0.0,4980.169922,3237.2607420000004,4398.671875,3456.1674799999996,59.5,99.5
0.0,0.0,0.0,0.0,68.54772949,49686.41016,49686.41016,49690.01172,58.5,-123.5
0.09426960000000001,0.0945553,0.0945553,0.0945553,0.0,46206.5,46143.00781,46270.5,58.5,-122.5
0.0,0.0,0.0,0.0,28007.96875,18084.60156,21103.72852,22194.67969,58.5,-6.5
0.0,0.0,0.0,0.0,33930.40625,32516.58008,30406.289060000003,37869.20313,58.5,-4.5
1.8038651319999999,0.062641034,1.75530426,1.6905993590000001,99947.77344,100694.1719,92062.0,116827.3047,58.5,-3.5
0.914928462,0.798001286,0.903166433,0.903166433,63767.58594,40669.45703,47444.06641,50020.67188,58.5,-2.5
4821.5082729999995,3822.791099,4962.498315999999,4849.073029,0.0,56828.875,48226.99219,69286.75,58.5,6.5
0.0,0.0,0.0,0.009817312,110338.4609,161962.25,126497.375,193861.2813,58.5,7.5
3.3631655819999997,0.0,0.0,0.863498436,157229.5781,248891.9063,188101.625,294034.2188,58.5,8.5
0.001623718,0.001623718,0.001623718,0.001623718,1293.180664,2294.68042,1871.124756,2673.326904,58.5,9.5
1.348355859,0.794547812,0.794547812,0.168396104,11753.85938,13082.000979999999,10764.62109,14776.642580000002,58.5,10.5
0.18151479,0.081968788,0.147428563,0.114276326,606749.75,849100.1875,673059.4375,991009.5,58.5,11.5
90462.87629,91612.22965,91748.3387,97698.57427000001,0.0,0.0,0.0,983727.3125,58.5,12.5
0.0,0.0,0.0,0.0,291.06521610000004,940.1906738,989.1931152000001,971.6373291000001,58.5,21.5
0.097237226,0.211886866,0.211886866,0.663913765,33348.45703,0.0,28207.621089999997,30528.95898,58.5,22.5
0.05013072,0.05013072,0.05013072,0.05013072,252024.5469,253288.375,244156.5156,266102.4688,58.5,28.5
37.15756003,36.44737627,36.412544700000005,37.15756003,45929.1875,27896.89453,38737.20313,30356.11328,58.5,29.5
1.424761175,1.424761175,1.424761175,1.424761175,41471.4375,25077.86719,35035.31641,27405.29297,58.5,32.5
2362.71789,2362.832957,2362.832957,2362.832957,96933.05469,0.0,82404.07813,0.0,58.5,33.5
1214.561187,1214.561187,1214.561187,1214.561187,83693.15625,58240.375,72893.73438,62741.19141,58.5,34.5
0.359529969,0.359529969,0.35952999,0.359529969,58316.39844,43965.01563,51823.39453,46982.92188,58.5,35.5
2548.31527,2101.952728,2006.8061879999998,2575.802099,243882.9219,253983.4063,242254.25,266701.4063,58.5,38.5
1087.2986529999998,209.88298939999999,180.0203183,1071.862424,439266.6563,435170.3125,422847.5938,458149.7813,58.5,39.5
3132.25479,2973.196539,2934.443641,3132.25479,328836.1875,318772.3438,314787.8438,335098.3438,58.5,40.5
451.42229330000004,450.4264123,450.3528683,451.42229330000004,132464.75,118613.8906,123665.1328,125503.0859,58.5,41.5
0.294176402,0.294176402,0.294176402,0.294176402,45314.48438,0.0,40866.80469,0.0,58.5,42.5
13.55689522,7.341729257000001,6.715751531,13.05802958,456685.75,447293.5625,438132.9688,471174.0313,58.5,49.5
43.83435452,39.58972529,39.57648922,43.68981356,155189.75,94197.14063,130607.0156,102297.8359,58.5,52.5
0.624116908,0.5694133029999999,0.5690714139999999,0.622443262,70760.42188,43009.61719,59653.62109,46792.33984,58.5,53.5
902.3415589,495.34234739999994,460.7355852,901.5812437000001,461436.9375,348215.375,409977.875,372572.9063,58.5,55.5
3.498635557,3.390127782,3.390127782,3.498635557,642744.25,505046.625,577310.625,538285.0,58.5,56.5
0.085689529,0.010016876,0.007858241,0.081773322,114590.2813,79094.1875,99110.34375,85086.04688,58.5,57.5
0.0,0.0,0.0,0.0,142040.3438,87311.59375,119954.75,95095.54688,58.5,58.5
0.013487018,0.013487018,0.013487018,0.013487018,261712.4531,193150.8438,231708.1563,206820.9063,58.5,59.5
0.032991933,0.027947035,0.027947035,0.033098741,128567.3906,97924.14844,114426.9063,104774.2266,58.5,60.5
0.0,0.0,0.0,0.0,84565.35156,56260.765629999994,72755.35938,60697.03125,58.5,61.5
0.131515742,0.130461124,0.130461124,0.131515742,32467.121089999997,20303.73047,27618.03125,22016.35156,58.5,62.5
2.800466953,2.800006826,2.80000674,2.800466953,46549.21875,38162.48438,42336.33203,40655.83594,58.5,63.5
0.0,0.0,0.0,0.0,22047.1582,13263.99023,18348.09766,14575.72168,58.5,64.5
0.0,0.0,0.0,0.0,37358.16016,24344.41797,31210.847660000003,26505.08203,58.5,65.5
0.0,0.0,0.0,0.0,16270.20801,9892.881836,13638.171880000002,10803.02148,58.5,66.5
0.0,0.0,0.0,0.0,12815.61426,7736.357422,10769.46289,8488.686523,58.5,67.5
0.0,0.0,0.0,0.0,121157.4609,128136.9531,119293.0234,134617.25,58.5,68.5
0.0,0.0,0.0,0.0,7352.510742,4376.986328,6281.013672,4877.579102000001,58.5,69.5
0.0,0.0,0.0,0.0,7313.835448999999,4319.345215,6347.549805,4768.855957,58.5,75.5
0.0,0.0,0.0,0.0,1680.612793,1120.408447,1676.3927,1120.408447,58.5,76.5
0.0,0.0,0.0,0.0,1871.1660160000001,1234.205322,1840.019287,1243.4025880000002,58.5,77.5
0.0,0.0,0.0,0.0,2120.036865,1319.72583,1850.925049,1333.080444,58.5,78.5
0.0,0.0,0.0,0.0,2557.896973,1577.150269,2190.6323239999997,1596.669434,58.5,79.5
0.0,0.0,0.0,0.0,3605.062012,2161.6088870000003,2939.1982420000004,2229.529297,58.5,80.5
0.0,0.0,0.0,0.0,11192.32422,6720.71875,9472.363281,7365.865234000001,58.5,81.5
